+----------+-------+--------------+----------+--------------+------+
| Student  | Total | voto_argento | voto_oro | voto_platino | voto |
+----------+-------+--------------+----------+--------------+------+
| VR516307 |  250  |      33      |    33    |      15      |  33  |
| VR519027 |  250  |      33      |    33    |      15      |  33  |
| VR516349 |  249  |      33      |    33    |      15      |  33  |
| VR519407 |  248  |      33      |    33    |      15      |  33  |
| VR516306 |  213  |      33      |    22    |      0       |  33  |
| VR522244 |  212  |      33      |    22    |      0       |  33  |
| VR516333 |  212  |      33      |    22    |      0       |  33  |
| VR518747 |  209  |      33      |    21    |      0       |  33  |
| VR517045 |  206  |      33      |    10    |      0       |  33  |
| VR496684 |  203  |      33      |    24    |      15      |  33  |
| VR504242 |  178  |      29      |    26    |      15      |  31  |
| VR519443 |  173  |      24      |    22    |      0       |  30  |
| VR517644 |  172  |      29      |    26    |      15      |  30  |
| VR508570 |  172  |      29      |    26    |      15      |  30  |
| VR526625 |  172  |      29      |    26    |      15      |  30  |
| VR518695 |  154  |      27      |    24    |      15      |  27  |
| VR524824 |  154  |      24      |    16    |      15      |  27  |
| VR519412 |  145  |      21      |    19    |      0       |  25  |
| VR527619 |  141  |      25      |    11    |      0       |  24  |
| VR527181 |  138  |      21      |    19    |      0       |  24  |
| VR517646 |  133  |      19      |    9     |      0       |  23  |
| VR518275 |  129  |      22      |    20    |      0       |  22  |
| VR519716 |   86  |      9       |    8     |      0       |  15  |
| VR487734 |   86  |      11      |    10    |      0       |  15  |
| VR525865 |   73  |      11      |    10    |      0       |  13  |
| VR519814 |   72  |      11      |    10    |      0       |  13  |
| VR451169 |   66  |      11      |    10    |      0       |  12  |
| VR527312 |   60  |      10      |    9     |      0       |  11  |
| VR501256 |   3   |      0       |    0     |      0       |  1   |
| VR517636 |   0   |      0       |    0     |      0       |  0   |
+----------+-------+--------------+----------+--------------+------+
